,name_last,name_first,key_mlbam,key_retro,key_bbref,key_fangraphs,mlb_played_first,mlb_played_last
522,chavez,jesse,445926,chavj001,chaveje01,5448,2008.0,2023.0
523,nelson,jimmy,519076,nelsj004,nelsoji02,10547,2013.0,2021.0
524,armstrong,shawn,542888,armss001,armstsh01,12857,2015.0,2023.0
525,gott,trevor,641627,gottt001,gotttr01,15046,2015.0,2023.0
526,refsnyder,rob,608701,refsr001,refsnro01,13770,2015.0,2023.0
527,matzek,tyler,554431,matzt001,matzety01,10058,2014.0,2022.0
528,kinley,tyler,641755,kinlt001,kinlety01,18297,2018.0,2023.0
529,phillips,brett,621433,philb002,phillbr02,14735,2017.0,2023.0
530,torrens,luis,620443,torrl001,torrelu01,15905,2017.0,2023.0
531,ashby,aaron,676879,ashba003,ashbyaa01,23550,2021.0,2022.0
532,maile,luke,571912,maill001,mailelu01,13355,2015.0,2023.0
533,poche,colin,621363,pochc001,pocheco01,19403,2019.0,2023.0
534,alexander,scott,518397,alexs001,alexasc02,10591,2015.0,2023.0
535,lucchesi,joey,664192,luccj001,lucchjo01,19320,2018.0,2023.0
536,clarke,taylor,664199,clart003,clarkta01,17611,2019.0,2023.0
537,young,alex,622065,youna002,youngal01,18333,2019.0,2023.0
538,ferguson,caleb,657571,fergc001,ferguca01,19349,2018.0,2023.0
539,knizner,andrew,668800,kniza001,kniznan01,19514,2019.0,2023.0
540,blach,ty,621389,blact002,blachty01,14361,2016.0,2023.0
541,barría,jaime,642545,barrj003,barrija01,18356,2018.0,2023.0
542,taylor,josh,657031,taylj001,taylojo02,17359,2019.0,2023.0
543,staumont,josh,622251,stauj001,staumjo01,18335,2019.0,2023.0
544,milner,hoby,571948,milnh001,milneho01,13346,2017.0,2023.0
545,underwood,duane,621249,unded001,underdu01,14677,2018.0,2023.0
